,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
3369,3369,ID_Past Conflicts_CNN_110,Cold Statistics_Prompt_Instance_ID_4764,"26,000 children","26,000 children",Number about Children Under Threat,children in Ashkelon under threat,Yes,Yes,Many,Israeli,Israel,"We have 131,000 people here and 26,000 children. They are constantly under threat.",2012,19 November 2012,CNN
3370,3370,ID_Past Conflicts_CNN_111,Cold Statistics_Prompt_Instance_ID_4765,deaths,100 deaths in Gaza -- 24 of them on Monday,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,Palestinian health officials have said the conflict has resulted in 100 deaths in Gaza -- 24 of them on Monday,2012,19 November 2012,CNN
3371,3371,ID_Past Conflicts_CNN_111,Cold Statistics_Prompt_Instance_ID_4766,wounded,860 wounded since Israel began its offensive,Number about Injured,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,and 860 wounded since Israel began its offensive in response to what Israel characterized as incessant rocket attacks by militants.,2012,19 November 2012,CNN
3372,3372,ID_Past Conflicts_CNN_111,Cold Statistics_Prompt_Instance_ID_4767,died,three people have died,Number about Deaths,Israeli civilians,No,Yes,Many,Israeli,Israel,Israeli officials say three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza.,2012,19 November 2012,CNN
3373,3373,ID_Past Conflicts_CNN_111,Cold Statistics_Prompt_Instance_ID_4768,wounded,68 have been wounded in Israel,Number about Injured,Israeli civilians,No,Yes,Many,Israeli,Israel,Israeli officials say three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza.,2012,19 November 2012,CNN
3374,3374,ID_Past Conflicts_CNN_112,Cold Statistics_Prompt_Instance_ID_4769,"104 people, among them women and children, have died",104,Number of Civilian Deaths (including women and children),Civilians in Gaza (including women and children),Yes,Yes,Many,Palestinian,Palestine,"Palestinian health officials said 104 people, among them women and children, have died -- at least 24 on Monday.",2012,19 November 2012,CNN
3375,3375,ID_Past Conflicts_CNN_112,Cold Statistics_Prompt_Instance_ID_4770,at least 24 on Monday,24,Number of Civilian Deaths (on a specific day),Civilians in Gaza (including women and children),Yes,Yes,Many,Palestinian,Palestine,"Palestinian health officials said 104 people, among them women and children, have died -- at least 24 on Monday.",2012,19 November 2012,CNN
3376,3376,ID_Past Conflicts_CNN_112,Cold Statistics_Prompt_Instance_ID_4771,860 have been wounded in Gaza,860,Number of Civilian Injured,Civilians in Gaza,No,Yes,Many,Palestinian,Palestine,They also say 860 have been wounded in Gaza since Israel began its offensive in response to what Israel characterized as incessant rocket attacks by militants.,2012,19 November 2012,CNN
3377,3377,ID_Past Conflicts_CNN_112,Cold Statistics_Prompt_Instance_ID_4772,Three have been killed,3,Number of Civilian Deaths (Israeli),Civilians in Israel,No,Yes,Many,Israeli,Israel,"Three have been killed and 68 wounded, Israeli officials said.",2012,19 November 2012,CNN
3378,3378,ID_Past Conflicts_CNN_112,Cold Statistics_Prompt_Instance_ID_4773,68 wounded,68,Number of Civilian Injured (Israeli),Civilians in Israel,No,Yes,Many,Israeli,Israel,"Three have been killed and 68 wounded, Israeli officials said.",2012,19 November 2012,CNN
3379,3379,ID_Past Conflicts_CNN_112,Cold Statistics_Prompt_Instance_ID_4774,killing of children,"children (number not specified, but contextually included in the 104 deaths)",Reference to Child Deaths (included in total deaths),Children in Gaza,Yes,Yes,Many,Palestinian,Palestine,The problem is that Israel is using the bombardment of civilians and the killing of children as a tool of negotiations.,2012,19 November 2012,CNN
3380,3380,ID_Past Conflicts_CNN_112,Cold Statistics_Prompt_Instance_ID_4776,family of 10 dead,10,Number of Civilian Deaths (Family Killed in Airstrike),Family in Gaza (civilians),Yes,Yes,Many,Palestinian,Palestine,Calls for a truce came on the heels of the single deadliest attack -- an Israeli airstrike in Gaza City on Sunday that left a family of 10 dead within the building's broken concrete and mangled metal.,2012,19 November 2012,CNN
3381,3381,ID_Past Conflicts_CNN_112,Cold Statistics_Prompt_Instance_ID_4777,"At least 1,400 people were killed in that conflict","1,400","Number of Deaths (Previous Conflict, 2008 Gaza War)",People killed in 2008 Gaza conflict (majority Palestinian),No,Yes,Many,"Palestinian (majority, inferred from context)",Palestine,"At least 1,400 people were killed in that conflict.",2012,19 November 2012,CNN
3382,3382,ID_Past Conflicts_CNN_113,Cold Statistics_Prompt_Instance_ID_4778,"Nearly 1,300 people were killed","Nearly 1,300",Number about Deaths (Victims),People killed during the 2008 war in Gaza,No,Yes,Many,"Mixed (likely predominantly Palestinian, given context of Israeli offensive in Gaza)",Palestine,"Air force and ground troops then poured on superior firepower, hitting numerous civilian targets in an effort to wipe out militants and their infrastructure. Nearly 1,300 people were killed.",2012,19 November 2012,CNN
3383,3383,ID_Past Conflicts_CNN_113,Cold Statistics_Prompt_Instance_ID_4779,104 people have died,104,Number about Deaths (Victims),People who have died in Gaza since Israel began its offensive,No,Yes,Many,Palestinian,Palestine,Palestinian health officials said 104 people have died and another 860 have been wounded in Gaza since Israel began its offensive in response to what it characterized as incessant rocket attacks by militants.,2012,19 November 2012,CNN
3384,3384,ID_Past Conflicts_CNN_113,Cold Statistics_Prompt_Instance_ID_4780,860 have been wounded,860,Number about Injured (Victims),People wounded in Gaza since Israel began its offensive,No,Yes,Many,Palestinian,Palestine,Palestinian health officials said 104 people have died and another 860 have been wounded in Gaza since Israel began its offensive in response to what it characterized as incessant rocket attacks by militants.,2012,19 November 2012,CNN
3385,3385,ID_Past Conflicts_CNN_113,Cold Statistics_Prompt_Instance_ID_4781,three people have died,three,Number about Deaths (Victims),People who have died in Israel as the result of rocket fire from Gaza,No,Yes,Many,Israeli,Israel,Israeli officials say three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza.,2012,19 November 2012,CNN
3386,3386,ID_Past Conflicts_CNN_113,Cold Statistics_Prompt_Instance_ID_4782,68 have been wounded,68,Number about Injured (Victims),People wounded in Israel as the result of rocket fire from Gaza,No,Yes,Many,Israeli,Israel,Israeli officials say three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza.,2012,19 November 2012,CNN
3387,3387,ID_Past Conflicts_CNN_114,Cold Statistics_Prompt_Instance_ID_4783,over 1 million Israelis,over 1 million,Number about Victims (people affected by rocket attacks),Israelis affected by rocket and missile fire,No,Yes,Many,Israeli,Israel,"""Hamas and the other terrorist organizations in Gaza have made normal life impossible for over 1 million Israelis,"" Israeli Prime Minister Benjamin Netanyahu said in a statement.",2012,19 November 2012,CNN
3388,3388,ID_Past Conflicts_CNN_114,Cold Statistics_Prompt_Instance_ID_4784,"75,000 reservists","75,000","Number about Victims (troops called up, not casualties)",Israeli reservists called up for potential conflict,No,Yes,Many,Israeli,Israel,"The Israeli government has called up 75,000 reservists and massed 30,000 troops across the border of the Palestinian territory, according to the Israel Defense Forces.",2012,19 November 2012,CNN
3389,3389,ID_Past Conflicts_CNN_114,Cold Statistics_Prompt_Instance_ID_4785,"30,000 troops","30,000","Number about Victims (troops massed, not casualties)",Israeli troops massed at Gaza border,No,Yes,Many,Israeli,Israel,"The Israeli government has called up 75,000 reservists and massed 30,000 troops across the border of the Palestinian territory, according to the Israel Defense Forces.",2012,19 November 2012,CNN
3390,3390,ID_Past Conflicts_CNN_114,Cold Statistics_Prompt_Instance_ID_4787,"Ten people, including several children, were pulled from the rubble after one airstrike in Gaza",Ten,"Number about Victims (people pulled from rubble, likely casualties or wounded)",Gazan civilians affected by airstrike (including children),Yes,Yes,Many,Palestinian,Palestine,"Ten people, including several children, were pulled from the rubble after one airstrike in Gaza, as CNN's Arwa Damon witnessed.",2012,19 November 2012,CNN
3391,3391,ID_Past Conflicts_CNN_114,Cold Statistics_Prompt_Instance_ID_4789,"131,000 people here and 26,000 children","131,000 people and 26,000 children",Number about Victims (population under threat in Ashkelon),"Residents of Ashkelon, including children, under threat of rocket attacks",Yes,Yes,Many,Israeli,Israel,"""We have 131,000 people here and 26,000 children. They are constantly under threat.""",2012,19 November 2012,CNN
3392,3392,ID_Past Conflicts_CNN_116,Cold Statistics_Prompt_Instance_ID_4791,"at least 1,400 died","at least 1,400",Number about Deaths,People killed during the 2008 Israeli invasion of Gaza,No,Yes,Many,Palestinian,Palestine,"Diplomats hope to avoid a repeat of 2008, when at least 1,400 died as Israeli troops invaded Gaza after a similar spate of rocket attacks.",2012,19 November 2012,CNN
3393,3393,ID_Past Conflicts_CNN_116,Cold Statistics_Prompt_Instance_ID_4792,killed three and wounded 68,killed three and wounded 68,Number about Deaths and Number about Injured,Israeli civilians affected by rocket attacks,No,Yes,Many,Israeli,Israel,"Air raid sirens yet again resounded all day Monday around Israel, where rocket attacks have killed three and wounded 68 according to Israeli officials.",2012,19 November 2012,CNN
3394,3394,ID_Past Conflicts_CNN_116,Cold Statistics_Prompt_Instance_ID_4793,"104 people, among them women and children, have been killed -- at least 24 on Monday","104 people killed, at least 24 on Monday",Number about Deaths,"Gaza civilians killed, including women and children",Yes,Yes,Many,Palestinian,Palestine,"Palestinian health officials said 104 people, among them women and children, have been killed -- at least 24 on Monday.",2012,19 November 2012,CNN
3395,3395,ID_Past Conflicts_CNN_116,Cold Statistics_Prompt_Instance_ID_4794,860 have been wounded in Gaza,860,Number about Injured,Gaza civilians wounded,No,Yes,Many,Palestinian,Palestine,They also say 860 have been wounded in Gaza since Israel began its offensive in response to what Israel characterized as incessant rocket attacks by militants.,2012,19 November 2012,CNN
3396,3396,ID_Past Conflicts_CNN_116,Cold Statistics_Prompt_Instance_ID_4795,killing of children,"children (number not specified, but contextually included in the 104 killed)",Number about Deaths (children included in total),Palestinian children killed,Yes,Yes,Many,Palestinian,Palestine,"""The problem is that Israel is using the bombardment of civilians and the killing of children as a tool of negotiations,"" he said.",2012,19 November 2012,CNN
3397,3397,ID_Past Conflicts_CNN_116,Cold Statistics_Prompt_Instance_ID_4797,family of 10 dead,10,Number about Deaths (family unit),Dallo family killed in Israeli airstrike in Gaza City,Yes,Yes,Many,Palestinian,Palestine,Calls for a truce came on the heels of the single deadliest attack -- an Israeli airstrike in Gaza City on Sunday that left a family of 10 dead within a building's broken concrete and mangled metal.,2012,19 November 2012,CNN
3398,3398,ID_Past Conflicts_CNN_117,Cold Statistics_Prompt_Instance_ID_4798,"104 people, among them women and children, have been killed",104,Number about Deaths (including women and children),Palestinian civilians (including women and children),Yes,Yes,Many,Palestinian,Palestine,"Palestinian health officials said 104 people, among them women and children, have been killed -- at least 24 on Monday.",2012,19 November 2012,CNN
3399,3399,ID_Past Conflicts_CNN_117,Cold Statistics_Prompt_Instance_ID_4799,at least 24 on Monday,24,Number about Deaths (daily count),Palestinian civilians (including women and children),Yes,Yes,Many,Palestinian,Palestine,"Palestinian health officials said 104 people, among them women and children, have been killed -- at least 24 on Monday.",2012,19 November 2012,CNN
3400,3400,ID_Past Conflicts_CNN_117,Cold Statistics_Prompt_Instance_ID_4800,860 have been wounded in Gaza,860,Number about Injured (wounded),Palestinian civilians (including women and children),Yes,Yes,Many,Palestinian,Palestine,They also say 860 have been wounded in Gaza since Israel began its offensive in response to what Israel characterized as incessant rocket attacks by militants.,2012,19 November 2012,CNN
3401,3401,ID_Past Conflicts_CNN_117,Cold Statistics_Prompt_Instance_ID_4801,three and wounded 68,3,Number about Deaths (Israeli civilians),Israeli civilians,No,Yes,Many,Israeli,Israel,"Air raid sirens yet again resounded all day Monday around Israel, where rocket attacks have killed three and wounded 68 according to Israeli officials.",2012,19 November 2012,CNN
3402,3402,ID_Past Conflicts_CNN_117,Cold Statistics_Prompt_Instance_ID_4802,three and wounded 68,68,Number about Injured (Israeli civilians),Israeli civilians,No,Yes,Many,Israeli,Israel,"Air raid sirens yet again resounded all day Monday around Israel, where rocket attacks have killed three and wounded 68 according to Israeli officials.",2012,19 November 2012,CNN
3403,3403,ID_Past Conflicts_CNN_117,Cold Statistics_Prompt_Instance_ID_4803,"at least 1,400 died","1,400","Number about Deaths (historical, 2008 Gaza war)",Palestinian civilians (historical context),Yes,Yes,Many,Palestinian,Palestine,"Diplomats hope to avoid a repeat of 2008, when at least 1,400 died as Israeli troops invaded Gaza after a similar spate of rocket attacks.",2012,19 November 2012,CNN
3404,3404,ID_Past Conflicts_CNN_117,Cold Statistics_Prompt_Instance_ID_4804,a family of 10 dead,10,Number about Deaths (family killed in airstrike),"Dallo family (Palestinian civilians, including children)",Yes,Yes,Many,Palestinian,Palestine,Calls for a truce came on the heels of the single deadliest attack -- an Israeli airstrike in Gaza City on Sunday that left a family of 10 dead within a building's broken concrete and mangled metal.,2012,19 November 2012,CNN
3405,3405,ID_Past Conflicts_CNN_118,Cold Statistics_Prompt_Instance_ID_4805,"at least 1,400 died","at least 1,400",Number about Deaths (Civilians and Combatants),People killed during the 2008 Israeli invasion of Gaza,No,Yes,Many,Palestinian,Palestine,"Diplomats hope to avoid a repeat of 2008, when at least 1,400 died as Israeli troops invaded Gaza after a similar spate of rocket attacks.",2012,19 November 2012,CNN
3406,3406,ID_Past Conflicts_CNN_118,Cold Statistics_Prompt_Instance_ID_4806,killed three and wounded 68,killed three and wounded 68,Number about Deaths and Number about Injured (Civilians),Israeli civilians affected by rocket attacks,No,Yes,Many,Israeli,Israel,"Air raid sirens yet again resounded all day Monday around Israel, where rocket attacks have killed three and wounded 68 according to Israeli officials.",2012,19 November 2012,CNN
3407,3407,ID_Past Conflicts_CNN_118,Cold Statistics_Prompt_Instance_ID_4808,"104 people, among them women and children, have been killed -- at least 24 on Monday. They also say 860 have been wounded in Gaza since Israel began its offensive","104 killed, at least 24 on Monday, 860 wounded","Number about Deaths (including Children and Women), Number about Injured (Civilians)",Gaza civilians (including women and children) killed and wounded since Israeli offensive began,Yes,Yes,Many,Palestinian,Palestine,"Palestinian health officials said 104 people, among them women and children, have been killed -- at least 24 on Monday. They also say 860 have been wounded in Gaza since Israel began its offensive in response to what Israel characterized as incessant rocket attacks by militants.",2012,19 November 2012,CNN
3408,3408,ID_Past Conflicts_CNN_118,Cold Statistics_Prompt_Instance_ID_4809,killing of children,"children (number not specified, but included in 104 killed)",Number about Deaths (Children),Palestinian children killed in Gaza,Yes,Yes,Many,Palestinian,Palestine,"""The problem is that Israel is using the bombardment of civilians and the killing of children as a tool of negotiations,"" he said.",2012,19 November 2012,CNN
3409,3409,ID_Past Conflicts_CNN_118,Cold Statistics_Prompt_Instance_ID_4811,family of 10 dead,10 dead,"Number about Deaths (Civilians, Family)",Dallo family killed in Israeli airstrike in Gaza City,Yes,Yes,Many,Palestinian,Palestine,Calls for a truce came on the heels of the single deadliest attack -- an Israeli airstrike in Gaza City on Sunday that left a family of 10 dead within a building's broken concrete and mangled metal.,2012,19 November 2012,CNN
3410,3410,ID_Past Conflicts_CNN_120,Cold Statistics_Prompt_Instance_ID_4813,three Israelis have been killed,three,Number about Deaths,Israeli civilians killed in rocket strikes,No,Yes,Many,Israeli,Israel,"Since the latest cross-border hostilities began last week, at least three Israelis have been killed in the rocket strikes",2012,19 November 2012,CNN
3411,3411,ID_Past Conflicts_CNN_120,Cold Statistics_Prompt_Instance_ID_4814,100 Palestinians have been killed,100,Number about Deaths,Palestinian civilians killed by Israeli military response,No,Yes,Many,Palestinian,Palestine,and 100 Palestinians have been killed in Gaza by the Israeli military response.,2012,19 November 2012,CNN
3412,3412,ID_Past Conflicts_CNN_120,Cold Statistics_Prompt_Instance_ID_4816,"131,000 people here and 26,000 children","131,000 people; 26,000 children",Population Size (Total and Children) Under Threat,Residents and children of Ashkelon under threat,Yes (for children); No (for total population),Yes,Many,Israeli,Israel,"""We have 131,000 people here and 26,000 children. They are constantly under threat.""",2012,19 November 2012,CNN
3413,3413,ID_Past Conflicts_CNN_121,Cold Statistics_Prompt_Instance_ID_4820,three people have been killed,three people have been killed,Number about Deaths,People killed in Israel by rocket attacks,No,Yes,Many,Israeli,Israel,"In Israel, three people have been killed and 68 wounded in rocket attacks, the IDF says.",2012,19 November 2012,CNN
3414,3414,ID_Past Conflicts_CNN_121,Cold Statistics_Prompt_Instance_ID_4821,68 wounded,68 wounded,Number about Injured,People wounded in Israel by rocket attacks,No,Yes,Many,Israeli,Israel,"In Israel, three people have been killed and 68 wounded in rocket attacks, the IDF says.",2012,19 November 2012,CNN
3415,3415,ID_Past Conflicts_CNN_121,Cold Statistics_Prompt_Instance_ID_4822,At least 90 people -- including a family of 10 -- have been killed in Gaza,At least 90 people -- including a family of 10 -- have been killed in Gaza,Number about Deaths,People killed in Gaza since Israel began its aerial campaign,No,Yes,Many,Palestinian,Palestine,"At least 90 people -- including a family of 10 -- have been killed in Gaza since Israel began its aerial campaign, Palestinian emergency services said Monday.",2012,19 November 2012,CNN
3416,3416,ID_Past Conflicts_CNN_121,Cold Statistics_Prompt_Instance_ID_4823,More than 740 people in Gaza have been injured,More than 740 people in Gaza have been injured,Number about Injured,People injured in Gaza since Israel began its aerial campaign,No,Yes,Many,Palestinian,Palestine,"More than 740 people in Gaza have been injured, the group said.",2012,19 November 2012,CNN
3417,3417,ID_Past Conflicts_CNN_121,Cold Statistics_Prompt_Instance_ID_4824,Ten members of one family were buried,Ten members of one family were buried,Number about Deaths,Family killed in Israeli airstrike in Gaza,No,Yes,Many,Palestinian,Palestine,"Ten members of one family were buried in the broken concrete and mangled metal, relatives told CNN's Arwa Damon in Gaza.",2012,19 November 2012,CNN
3418,3418,ID_Past Conflicts_CNN_121,Cold Statistics_Prompt_Instance_ID_4826,Hundreds turned out for for the funeral,Hundreds turned out for for the funeral,Number about Attendees (Funeral),Mourners at funeral for family killed in Gaza,No,Yes,Many,Palestinian,Palestine,"Hundreds turned out for for the funeral, where some chanted, ""revenge, revenge.""",2012,19 November 2012,CNN
3419,3419,ID_Past Conflicts_CNN_123,Cold Statistics_Prompt_Instance_ID_4830,three people have been killed,three people have been killed,"Number about Deaths (specific, 3)",People killed in Israel by rocket attacks,No,Yes,Many,Israeli,Israel,"In Israel, three people have been killed and 68 wounded in rocket attacks, the IDF says.",2012,19 November 2012,CNN
3420,3420,ID_Past Conflicts_CNN_123,Cold Statistics_Prompt_Instance_ID_4831,68 wounded,68 wounded,"Number about Injured (specific, 68)",People wounded in Israel by rocket attacks,No,Yes,Many,Israeli,Israel,"In Israel, three people have been killed and 68 wounded in rocket attacks, the IDF says.",2012,19 November 2012,CNN
3421,3421,ID_Past Conflicts_CNN_123,Cold Statistics_Prompt_Instance_ID_4832,At least 76 people -- including a family of 10 -- have been killed in Gaza,At least 76 people -- including a family of 10 -- have been killed in Gaza,"Number about Deaths (specific, 76, with 10 from one family)",People killed in Gaza since Israeli aerial campaign began,No,Yes,Many,Palestinian,Palestine,"At least 76 people -- including a family of 10 -- have been killed in Gaza -- since Israel began its aerial campaign, the Palestinian Health Ministry said early Monday.",2012,19 November 2012,CNN
3422,3422,ID_Past Conflicts_CNN_123,Cold Statistics_Prompt_Instance_ID_4833,More than 660 people in Gaza have been injured,More than 660 people in Gaza have been injured,"Number about Injured (minimum, 660)",People injured in Gaza since Israeli aerial campaign began,No,Yes,Many,Palestinian,Palestine,"More than 660 people in Gaza have been injured, according to the Interior Ministry.",2012,19 November 2012,CNN
3423,3423,ID_Past Conflicts_CNN_123,Cold Statistics_Prompt_Instance_ID_4834,Ten members of one family were buried,Ten members of one family were buried,"Number about Deaths (specific, 10)",Family killed in Israeli airstrike in Gaza,No,Yes,Many,Palestinian,Palestine,"Ten members of one family were buried in the broken concrete and mangled metal, relatives told CNN's Arwa Damon in Gaza.",2012,19 November 2012,CNN
3424,3424,ID_Past Conflicts_CNN_125,Cold Statistics_Prompt_Instance_ID_4840,three people have been killed,three people have been killed,Number about Deaths,Israeli civilians killed in rocket attacks,No,Yes,Many,Israeli,Israel,"In Israel, three people have been killed and 68 wounded in rocket attacks, the IDF says.",2012,19 November 2012,CNN
3425,3425,ID_Past Conflicts_CNN_125,Cold Statistics_Prompt_Instance_ID_4841,68 wounded,68 wounded,Number about Injured,Israeli civilians wounded in rocket attacks,No,Yes,Many,Israeli,Israel,"In Israel, three people have been killed and 68 wounded in rocket attacks, the IDF says.",2012,19 November 2012,CNN
3426,3426,ID_Past Conflicts_CNN_125,Cold Statistics_Prompt_Instance_ID_4842,At least 90 people have been killed in Gaza,At least 90 people have been killed in Gaza,Number about Deaths,People killed in Gaza since Israeli aerial campaign began,No,Yes,Many,Palestinian,Palestine,"At least 90 people have been killed in Gaza since Israel began its aerial campaign, Palestinian emergency services said Monday.",2012,19 November 2012,CNN
3427,3427,ID_Past Conflicts_CNN_125,Cold Statistics_Prompt_Instance_ID_4843,More than 740 people in Gaza have been injured,More than 740 people in Gaza have been injured,Number about Injured,People injured in Gaza since Israeli aerial campaign began,No,Yes,Many,Palestinian,Palestine,"More than 740 people in Gaza have been injured, the group said.",2012,19 November 2012,CNN
3428,3428,ID_Past Conflicts_CNN_125,Cold Statistics_Prompt_Instance_ID_4844,family of 10,family of 10,Number about Deaths,Family killed in Israeli airstrike in Gaza,No,Yes,Many,Palestinian,Palestine,the single deadliest attack -- an Israeli airstrike that killed a family of 10 -- in the conflict,2012,19 November 2012,CNN
3429,3429,ID_Past Conflicts_CNN_125,Cold Statistics_Prompt_Instance_ID_4845,Ten members of one family were buried,Ten members of one family were buried,Number about Deaths,Family members killed in Israeli airstrike in Gaza,No,Yes,Many,Palestinian,Palestine,"Ten members of one family were buried in the broken concrete and mangled metal, relatives told CNN.",2012,19 November 2012,CNN
3430,3430,ID_Past Conflicts_CNN_125,Cold Statistics_Prompt_Instance_ID_4847,Hundreds turned out for the funeral,Hundreds turned out for the funeral,Number about Attendees (Mourners),Mourners at funeral for family killed in Gaza,No,Yes,Many,Palestinian,Palestine,"Hundreds turned out for the funeral, where some chanted, ""revenge, revenge.""",2012,19 November 2012,CNN
3431,3431,ID_Past Conflicts_CNN_126,Cold Statistics_Prompt_Instance_ID_4848,family of 10,10,Number about Deaths (Civilians),family killed in Israeli airstrike,Yes,Yes,Many,Palestinian,Palestine,the single deadliest attack -- an Israeli airstrike that killed a family of 10 -- in the conflict,2012,19 November 2012,CNN
3432,3432,ID_Past Conflicts_CNN_126,Cold Statistics_Prompt_Instance_ID_4849,"At least 1,400 people were killed","1,400",Number about Deaths (Civilians) in 2008 conflict,people killed in 2008 Gaza conflict,No,Yes,Many,Palestinian,Palestine,"At least 1,400 people were killed in that conflict.",2012,19 November 2012,CNN
3433,3433,ID_Past Conflicts_CNN_126,Cold Statistics_Prompt_Instance_ID_4850,three people have been killed,3,Number about Deaths (Civilians),people killed in Israel by rocket attacks,No,Yes,Many,Israeli,Israel,"In Israel, three people have been killed and 68 wounded in rocket attacks, the Israel Defense Forces says.",2012,19 November 2012,CNN
3434,3434,ID_Past Conflicts_CNN_126,Cold Statistics_Prompt_Instance_ID_4851,68 wounded,68,Number about Injured (Civilians),people wounded in Israel by rocket attacks,No,Yes,Many,Israeli,Israel,"In Israel, three people have been killed and 68 wounded in rocket attacks, the Israel Defense Forces says.",2012,19 November 2012,CNN
3435,3435,ID_Past Conflicts_CNN_126,Cold Statistics_Prompt_Instance_ID_4852,At least 92 people have been killed in Gaza,92,Number about Deaths (Civilians),people killed in Gaza since Israeli aerial campaign began,No,Yes,Many,Palestinian,Palestine,"At least 92 people have been killed in Gaza since Israel began its aerial campaign, Palestinian emergency services said Monday.",2012,19 November 2012,CNN
3436,3436,ID_Past Conflicts_CNN_126,Cold Statistics_Prompt_Instance_ID_4853,About 750 people in Gaza have been injured,750,Number about Injured (Civilians),people injured in Gaza since Israeli aerial campaign began,No,Yes,Many,Palestinian,Palestine,"About 750 people in Gaza have been injured, the group said.",2012,19 November 2012,CNN
3437,3437,ID_Past Conflicts_CNN_126,Cold Statistics_Prompt_Instance_ID_4854,Ten members of one family were buried,10,"Number about Deaths (Civilians, Family)",family members killed in Israeli airstrike,Yes,Yes,Many,Palestinian,Palestine,"Ten members of one family were buried in the broken concrete and mangled metal, relatives told CNN.",2012,19 November 2012,CNN
3438,3438,ID_Past Conflicts_CNN_126,Cold Statistics_Prompt_Instance_ID_4856,Hundreds turned out for the funeral,Hundreds,"Number about Attendees (Funeral, Civilians)",funeral attendees for family killed in airstrike,No,Yes,Many,Palestinian,Palestine,"Hundreds turned out for the funeral, where some chanted, ""revenge, revenge.""",2012,19 November 2012,CNN
3439,3439,ID_Past Conflicts_CNN_127,Cold Statistics_Prompt_Instance_ID_4857,nearly 100 people have been killed in Gaza,nearly 100,Number about Deaths,people killed in Gaza,No,Yes,Many,Palestinian,Palestine,Palestinian emergency services said Monday that nearly 100 people have been killed in Gaza,2012,19 November 2012,CNN
3440,3440,ID_Past Conflicts_CNN_127,Cold Statistics_Prompt_Instance_ID_4858,around 750 injured,around 750,Number about Injured,people injured in Gaza,No,Yes,Many,Palestinian,Palestine,with around 750 injured,2012,19 November 2012,CNN
3441,3441,ID_Past Conflicts_CNN_127,Cold Statistics_Prompt_Instance_ID_4859,three people in Israel have been killed,three,Number about Deaths,people killed in Israel,No,Yes,Many,Israeli,Israel,The Israel Defense Forces said three people in Israel have been killed,2012,19 November 2012,CNN
3442,3442,ID_Past Conflicts_CNN_127,Cold Statistics_Prompt_Instance_ID_4860,nearly 70 injured,nearly 70,Number about Injured,people injured in Israel,No,Yes,Many,Israeli,Israel,with nearly 70 injured,2012,19 November 2012,CNN
3443,3443,ID_Past Conflicts_CNN_128,Cold Statistics_Prompt_Instance_ID_4861,killed,10 people,Number about Deaths,people killed in one home in the Gaza Strip by an Israeli airstrike,No,Yes,Many,Palestinian,Palestine,an Israeli airstrike killed 10 people in one home in the Gaza Strip.,2012,19 November 2012,CNN
3444,3444,ID_Past Conflicts_CNN_129,Cold Statistics_Prompt_Instance_ID_4862,killed,"more than 1,300 men, women and children",Number about Deaths (Civilians),"men, women and children killed in the 2008/2009 confrontation",Yes,Yes,Many,Palestinian,Palestine,"It would be easy to look at the current conflict, Hamas's militant fighters and smaller militias firing rockets in to Israel and Israel's crushing bomb and missile barrages, as a repeat of the 2008/2009 confrontation that killed more than 1,300 men, women and children.",2012,19 November 2012,CNN
3445,3445,ID_Past Conflicts_CNN_130,Cold Statistics_Prompt_Instance_ID_4865,died,100 people have died -- 24 of them on Monday -- and 860 have been wounded in Gaza since Israel began its offensive,Number about Deaths and Injured,People killed and wounded in Gaza since Israeli offensive began,No,Yes,Many,Palestinian,Palestine,Palestinian health officials said 100 people have died -- 24 of them on Monday -- and 860 have been wounded in Gaza since Israel began its offensive in response to what Israel characterized as incessant rocket attacks by militants.,2012,19 November 2012,CNN
3446,3446,ID_Past Conflicts_CNN_130,Cold Statistics_Prompt_Instance_ID_4866,wounded,860 have been wounded in Gaza since Israel began its offensive,Number about Injured,People wounded in Gaza since Israeli offensive began,No,Yes,Many,Palestinian,Palestine,Palestinian health officials said 100 people have died -- 24 of them on Monday -- and 860 have been wounded in Gaza since Israel began its offensive in response to what Israel characterized as incessant rocket attacks by militants.,2012,19 November 2012,CNN
3447,3447,ID_Past Conflicts_CNN_130,Cold Statistics_Prompt_Instance_ID_4867,died,three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza,Number about Deaths and Injured,People killed and wounded in Israel from Gaza rocket fire,No,Yes,Many,Israeli,Israel,Israeli officials say three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza.,2012,19 November 2012,CNN
3448,3448,ID_Past Conflicts_CNN_130,Cold Statistics_Prompt_Instance_ID_4868,wounded,68 have been wounded in Israel as the result of rocket fire from Gaza,Number about Injured,People wounded in Israel from Gaza rocket fire,No,Yes,Many,Israeli,Israel,Israeli officials say three people have died and 68 have been wounded in Israel as the result of rocket fire from Gaza.,2012,19 November 2012,CNN
